Identifiant,City,Post_Code,Address,Sales_Date,House_Type,Price,Number_of_Rooms,House_Inside_Area,Population,Population_Density(km2),Altitude_min(m),Avg_Temperature,Number_of_Schools,Number_of_Hospital,Region_Area(km2),Precipitation,Avg_Monthly_Salary,Avg_Age
2020-247634,Rouen,76000,101 RUE MALPALU,16/06/2020,Appartement,85000,1,27,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247657,Rouen,76000,2 RUE DU FOUR,16/06/2020,Appartement,60000,2,30,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247743,Rouen,76000,4 RUE PIERRE MAC ORLAN,16/06/2020,Appartement,92000,2,48,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247655,Rouen,76000,7 RUE PORET DE BLOSSEVILLE,16/06/2020,Appartement,106000,3,63,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247531,Rouen,76000,12 RUE BRISOUT DE BARNEVILLE,15/06/2020,Appartement,90000,4,85,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247647,Rouen,76000,12 RUE BRISOUT DE BARNEVILLE,15/06/2020,Appartement,68000,1,25,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247752,Rouen,76000,53 RUE JEANNE D ARC,13/06/2020,Appartement,140000,7,160,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247537,Rouen,76000,13 RUE ABBE DE L EPEE,12/06/2020,Maison,900150,6,200,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247756,Rouen,76000,18 RUE DE BUFFON,12/06/2020,Appartement,65000,1,27,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247819,Rouen,76000,57 RUE DE LA REPUBLIQUE,11/06/2020,Appartement,185000,1,32,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247662,Rouen,76000,10 RUE RENE DRAGON,11/06/2020,Appartement,181000,3,70,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247583,Rouen,76000,16 RUE SAINT ANDRE,11/06/2020,Appartement,275500,4,88,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247607,Rouen,76000,15 RUE NICOLAS MESNAGER,11/06/2020,Maison,279900,4,100,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247686,Rouen,76000,47 RUE CAUCHOISE,11/06/2020,Appartement,96000,2,40,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247675,Rouen,76000,4 RUE PIERRE MAC ORLAN,10/06/2020,Appartement,85000,2,43,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247769,Rouen,76000,14 RUE ARMAND CARREL,10/06/2020,Appartement,105000,2,40,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247582,Rouen,76000,25 RUE SAINT VIVIEN,10/06/2020,Appartement,107000,2,60,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247606,Rouen,76000,3 RUE CHARLOTTE PERRIAND,09/06/2020,Appartement,242550,4,90,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247772,Rouen,76000,14 RUE TRAVERSIERE,09/06/2020,Maison,295000,4,106,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247480,Rouen,76000,24 RUE DE CAMPULLEY,09/06/2020,Appartement,66500,1,16,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247548,Rouen,76000,83 RUE DU RENARD,08/06/2020,Appartement,129980,2,33,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247616,Rouen,76000,9 RUE DU CONTRAT SOCIAL,08/06/2020,Appartement,66000,1,32,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247741,Rouen,76000,43 RUE SAINT GERVAIS,05/06/2020,Appartement,63000,1,28,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247530,Rouen,76000,56 RUE DU CHAMP DES OISEAUX,05/06/2020,Appartement,77000,2,47,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247722,Rouen,76000,20 AV PASTEUR,05/06/2020,Appartement,60000,1,20,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247550,Rouen,76000,7 RUE PORET DE BLOSSEVILLE,05/06/2020,Appartement,130000,2,63,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247456,Rouen,76000,81 RUE JEAN LECANUET,05/06/2020,Appartement,166500,3,68,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247554,Rouen,76000,38 RUE SAINT MAUR,05/06/2020,Appartement,392500,4,112,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247740,Rouen,76000,43 RUE SAINT GERVAIS,05/06/2020,Appartement,64000,1,24,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247368,Rouen,76000,1 PL DE HANOVRE,04/06/2020,Appartement,54340,1,16,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247373,Rouen,76000,1 PL DE HANOVRE,04/06/2020,Appartement,52281,1,16,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247420,Rouen,76000,9 RUE MARE PLANCHES,04/06/2020,Appartement,111660,3,77,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247371,Rouen,76000,1 PL DE HANOVRE,04/06/2020,Appartement,56818,1,16,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247374,Rouen,76000,1 PL DE HANOVRE,04/06/2020,Appartement,53768,1,16,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247525,Rouen,76000,31 BD DES BELGES,04/06/2020,Appartement,54000,1,33,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247692,Rouen,76000,19 QUAI CAVELIER DE LA SALLE,04/06/2020,Appartement,125600,4,60,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247372,Rouen,76000,1 PL DE HANOVRE,04/06/2020,Appartement,48000,1,16,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247382,Rouen,76000,11 AV DE LA PORTE DES CHAMPS,04/06/2020,Appartement,210000,1,78,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247553,Rouen,76000,27 RUE MUSTEL,03/06/2020,Appartement,290000,4,84,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247626,Rouen,76000,71B RUE CAUCHOISE,03/06/2020,Appartement,53000,1,18,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247614,Rouen,76000,41 RUE DES CARMES,03/06/2020,Appartement,1700000,3,102,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247751,Rouen,76000,60 RUE EAU DE ROBEC,03/06/2020,Appartement,245200,3,46,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247436,Rouen,76000,30 RUE EAU DE ROBEC,03/06/2020,Appartement,77000,1,21,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247753,Rouen,76000,8 RUE AUX OURS,03/06/2020,Appartement,157000,2,44,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247408,Rouen,76000,8 RUE PERCIERE,03/06/2020,Appartement,100000,2,31,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247723,Rouen,76000,20 AV PASTEUR,03/06/2020,Appartement,59000,1,20,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247704,Rouen,76000,36 PL SAINT MARC,03/06/2020,Appartement,245000,3,61,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247454,Rouen,76000,21B RUE DUGUAY TROUIN,03/06/2020,Appartement,99000,2,32,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247491,Rouen,76000,5 RUE STENDHAL,03/06/2020,Appartement,161200,5,85,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247594,Rouen,76000,40 RUE DU MAIL,02/06/2020,Appartement,46000,1,17,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247430,Rouen,76000,122 RUE DU GROS HORLOGE,02/06/2020,Appartement,85000,1,26,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247432,Rouen,76000,17 RUE D ECOSSE,30/05/2020,Appartement,128000,2,40,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247325,Rouen,76000,20 RUE MALADRERIE,29/05/2020,Appartement,125000,2,41,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247560,Rouen,76000,11 RUE DE BIHOREL,29/05/2020,Maison,300200,4,98,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247358,Rouen,76000,20 RUE TRAVERSIERE,29/05/2020,Maison,271700,4,82,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247481,Rouen,76000,5 RUE ANTHEAUME,29/05/2020,Appartement,71500,1,31,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247252,Rouen,76000,1 PL DE HANOVRE,29/05/2020,Appartement,48000,1,16,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247559,Rouen,76000,25 RUE DES CHAMPS MAILLETS,29/05/2020,Appartement,134000,2,56,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247251,Rouen,76000,13 RUE SAINT MAUR,28/05/2020,Appartement,300000,2,43,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247605,Rouen,76000,2 ALL MARCEL DUPRE,28/05/2020,Appartement,29450,1,14,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247296,Rouen,76000,108 RUE MOLIERE,28/05/2020,Maison,590000,6,109,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247562,Rouen,76000,56 AV GUSTAVE FLAUBERT,28/05/2020,Appartement,320000,1,140,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247414,Rouen,76000,13 AV JACQUES CHASTELLAIN,27/05/2020,Appartement,132160,4,82,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247329,Rouen,76000,102 RUE MALPALU,27/05/2020,Appartement,105000,2,35,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247321,Rouen,76000,44 RUE ABBE DE L EPEE,27/05/2020,Appartement,212000,3,81,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247691,Rouen,76000,39 QUAI DU HAVRE,27/05/2020,Appartement,139000,11,50,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247429,Rouen,76000,5 PL DU GAILLARDBOIS,27/05/2020,Appartement,145000,3,70,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247557,Rouen,76000,4 RUE LOUIS MALLIOT,27/05/2020,Appartement,55000,1,20,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-247385,Rouen,76000,42 RUE DE LA ROSE,27/05/2020,Appartement,97000,1,31,111360,5209,2,11.1,89,5,21.38,831,2510,36.83
2020-182388,Nancy,54000,18 RUE SELLIER,30/06/2020,Appartement,122600,2,52,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182387,Nancy,54000,7 RUE LECREULX,26/06/2020,Maison,235000,4,102,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182401,Nancy,54000,15A RUE LYAUTEY,25/06/2020,Appartement,76000,3,76,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182389,Nancy,54000,17 RUE ROLAND CLAUDE,25/06/2020,Appartement,313500,5,120,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182384,Nancy,54000,70 RUE HERMITE,25/06/2020,Appartement,60200,1,23,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182376,Nancy,54000,5 RUE SAINT THIEBAUT,25/06/2020,Appartement,57500,1,11,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182380,Nancy,54000,5 RUE SAINT THIEBAUT,23/06/2020,Appartement,55000,2,50,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182450,Nancy,54000,34 RUE SAINTE ANNE,23/06/2020,Appartement,125000,2,60,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182261,Nancy,54000,1 RUE DE LA SALPETRIERE,23/06/2020,Appartement,95000,2,53,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182462,Nancy,54000,5 RUE CHANOINE JACOB,22/06/2020,Appartement,410497,5,161,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182449,Nancy,54000,69 RUE GABRIEL MOUILLERON,19/06/2020,Appartement,71000,1,34,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182321,Nancy,54000,25 RUE RAYMOND POINCARE,19/06/2020,Appartement,102600,1,40,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182398,Nancy,54000,30 RUE DE THIONVILLE,18/06/2020,Appartement,242700,4,89,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182306,Nancy,54000,5 RUE SAINT THIEBAUT,17/06/2020,Appartement,94960,2,50,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182400,Nancy,54000,55 RUE HENRI BAZIN,17/06/2020,Appartement,84000,2,37,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182337,Nancy,54000,57 AV FOCH,15/06/2020,Appartement,169550,3,71,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182275,Nancy,54000,73 RUE RAYMOND POINCARE,15/06/2020,Appartement,99000,3,70,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182329,Nancy,54000,9 RUE DE METZ,15/06/2020,Appartement,53000,1,26,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182187,Nancy,54000,76 QUAI CLAUDE LE LORRAIN,15/06/2020,Appartement,88500,3,54,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182134,Nancy,54000,14 RUE DU TEMERAIRE,13/06/2020,Appartement,162600,3,67,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182246,Nancy,54000,5 RUE DE LA SALPETRIERE,12/06/2020,Appartement,196000,5,90,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182188,Nancy,54000,13 AV FOCH,12/06/2020,Appartement,78500,2,38,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182248,Nancy,54000,5 RUE DU DOCTEUR SCHMITT,12/06/2020,Appartement,183350,2,90,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182231,Nancy,54000,7 PL DE LA CARRIERE,12/06/2020,Appartement,180000,3,120,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182429,Nancy,54000,58 RUE HENRI DEGLIN,12/06/2020,Appartement,518000,4,142,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182441,Nancy,54000,8 RUE DE MALZEVILLE,12/06/2020,Appartement,88000,2,51,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182322,Nancy,54000,7 PL DE LA CARRIERE,12/06/2020,Appartement,170000,3,74,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182427,Nancy,54000,84 RUE CHARLES KELLER,11/06/2020,Appartement,170050,4,90,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182098,Nancy,54000,19 RUE D ALGERIE,10/06/2020,Maison,129000,3,53,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182036,Nancy,54000,45 RUE DE L ARMEE PATTON,10/06/2020,Appartement,253000,5,107,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182241,Nancy,54000,4 RUE EDMONDE CHARLES ROUX,10/06/2020,Appartement,203750,3,66,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182203,Nancy,54000,8 RUE FOLLER,10/06/2020,Appartement,62000,1,26,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182115,Nancy,54000,40 RUE CLAUDOT,10/06/2020,Appartement,63000,1,23,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182151,Nancy,54000,81 RUE DE BOUDONVILLE,09/06/2020,Maison,262000,5,121,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182094,Nancy,54000,31 RUE DE LA COLLINE,08/06/2020,Appartement,63500,1,24,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182315,Nancy,54000,38 RUE MICHELET,08/06/2020,Appartement,350000,3,55,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182286,Nancy,54000,58 BD ALBERT 1ER,08/06/2020,Appartement,235000,5,105,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182319,Nancy,54000,4 PROM EMILIE DU CHATELET,05/06/2020,Appartement,438679,4,93,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182044,Nancy,54000,2 RUE DE LA BOUDIERE,05/06/2020,Appartement,64000,1,41,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182067,Nancy,54000,27 AV DE BOUFFLERS,05/06/2020,Appartement,60000,2,40,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182279,Nancy,54000,3 RUE DU HAUT DE CHEVRE,05/06/2020,Appartement,107800,2,46,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182106,Nancy,54000,193 AV DE LA LIBERATION,05/06/2020,Appartement,52000,1,25,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182283,Nancy,54000,45 RUE VERLAINE,05/06/2020,Appartement,150500,3,71,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182294,Nancy,54000,21 COUR DES ARTS,05/06/2020,Appartement,242000,3,107,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182344,Nancy,54000,32 RUE GUSTAVE SIMON,05/06/2020,Appartement,115000,3,75,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182221,Nancy,54000,10 RUE DES DOMINICAINS,05/06/2020,Appartement,160000,3,81,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182043,Nancy,54000,28 RUE CHRISTIAN PFISTER,05/06/2020,Appartement,124000,3,65,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182325,Nancy,54000,27 RUE HENRI DEGLIN,05/06/2020,Appartement,69000,3,40,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182093,Nancy,54000,4 PL CROIX DE BOURGOGNE,04/06/2020,Appartement,102500,2,47,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181935,Nancy,54000,1 RUE DE LAXOU,04/06/2020,Appartement,104000,3,61,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182274,Nancy,54000,53 RUE DE LA COTE,04/06/2020,Maison,330000,4,81,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182186,Nancy,54000,16 RUE RAUGRAFF,03/06/2020,Appartement,65000,1,33,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182333,Nancy,54000,8 RUE FOLLER,03/06/2020,Appartement,59175,1,26,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181888,Nancy,54000,16 RUE DE LA COTE,02/06/2020,Appartement,72000,3,61,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182304,Nancy,54000,9 RUE DU PETIT BOURGEOIS,01/06/2020,Appartement,419000,1,15,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182113,Nancy,54000,34 RUE DU VIEIL AITRE,29/05/2020,Appartement,276850,4,100,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182035,Nancy,54000,46 RUE HENRI DEGLIN,29/05/2020,Appartement,370000,2,38,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182254,Nancy,54000,25 RUE DE METZ,29/05/2020,Appartement,45000,1,28,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182382,Nancy,54000,23 AV FOCH,29/05/2020,Appartement,150000,5,113,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182280,Nancy,54000,63 AV FOCH,29/05/2020,Appartement,118785,3,57,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182082,Nancy,54000,13 RUE SAINT NICOLAS,29/05/2020,Appartement,228400,2,84,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182085,Nancy,54000,35 RUE CHARLES III,28/05/2020,Appartement,82000,3,57,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181859,Nancy,54000,17 RUE ALBERT LEBRUN,28/05/2020,Appartement,76000,2,40,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181881,Nancy,54000,4 RUE DE GUISE,28/05/2020,Appartement,775000,2,26,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181797,Nancy,54000,77 RUE GABRIEL MOUILLERON,28/05/2020,Appartement,229900,4,97,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181869,Nancy,54000,64 QUAI CLAUDE LE LORRAIN,28/05/2020,Maison,765000,7,190,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182075,Nancy,54000,5 RUE DE L ORATOIRE,28/05/2020,Appartement,288000,4,100,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181981,Nancy,54000,16 RUE ALIX LE CLERC,27/05/2020,Appartement,65000,2,37,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182016,Nancy,54000,64 PL HENRI LORITZ,27/05/2020,Appartement,75000,1,49,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182240,Nancy,54000,65 RUE JEANNE D ARC,26/05/2020,Appartement,164665,4,88,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181979,Nancy,54000,62 RUE DES FABRIQUES,26/05/2020,Appartement,125000,2,51,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181996,Nancy,54000,18 RUE GUSTAVE SIMON,25/05/2020,Appartement,122000,2,60,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181944,Nancy,54000,12 RUE SAINT MANSUY,25/05/2020,Appartement,111300,2,58,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181998,Nancy,54000,23 AV DE BOUFFLERS,25/05/2020,Appartement,199500,4,102,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181839,Nancy,54000,6 RUE CYFFLE LE TRIDENT,25/05/2020,Appartement,106800,3,59,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182073,Nancy,54000,10 RUE PALISSOT,25/05/2020,Appartement,210000,3,49,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182177,Nancy,54000,3 RUE DU CHEMIN BLANC,25/05/2020,Appartement,70000,4,67,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181850,Nancy,54000,9 RUE GIORNE VIARD,22/05/2020,Appartement,184500,3,79,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181939,Nancy,54000,35 RUE DE LA SOURCE,22/05/2020,Appartement,113000,2,32,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181810,Nancy,54000,21 RUE BRACONNOT,22/05/2020,Appartement,511975,1,18,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181813,Nancy,54000,38 RUE GUSTAVE SIMON,22/05/2020,Appartement,57000,1,26,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181895,Nancy,54000,87B RUE DES QUATRE EGLISES,22/05/2020,Appartement,148000,3,72,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182169,Nancy,54000,49 BD LOBAU,22/05/2020,Appartement,167500,3,93,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181834,Nancy,54000,5 RUE MARCEL BROT,20/05/2020,Appartement,143500,3,61,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181818,Nancy,54000,17Q RUE DE LA FOUCOTTE,20/05/2020,Appartement,53000,1,25,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181970,Nancy,54000,1 RUE DES ORPHELINES,20/05/2020,Appartement,226740,3,128,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181921,Nancy,54000,8 PL D ALLIANCE,20/05/2020,Appartement,157000,4,83,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182096,Nancy,54000,92 RUE SAINT DIZIER,19/05/2020,Appartement,152000,3,96,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182053,Nancy,54000,16 RUE DE LA COTE,19/05/2020,Appartement,80000,4,66,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181852,Nancy,54000,33 BD LOBAU,19/05/2020,Appartement,54000,1,28,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181915,Nancy,54000,10 RUE DES FABRIQUES,19/05/2020,Appartement,162700,3,88,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-182212,Nancy,54000,49B AV ANATOLE FRANCE,19/05/2020,Appartement,214000,4,105,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181821,Nancy,54000,55 RUE SAINT NICOLAS,19/05/2020,Appartement,142500,2,65,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181837,Nancy,54000,5 RUE SAINT THIEBAUT,19/05/2020,Appartement,125870,2,48,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181764,Nancy,54000,11 RUE DE MALZEVILLE,18/05/2020,Appartement,113000,2,50,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181842,Nancy,54000,3 CHE DE BELLEVUE,18/05/2020,Maison,196000,5,90,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181854,Nancy,54000,25 CRS LEOPOLD,18/05/2020,Appartement,480000,6,174,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181898,Nancy,54000,90 AV DE LA LIBERATION,18/05/2020,Appartement,47500,1,14,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181956,Nancy,54000,28 RUE DE MON DESERT,18/05/2020,Appartement,106250,2,48,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-181856,Nancy,54000,19 RUE CHANOINE JACOB,18/05/2020,Appartement,159000,3,85,104885,6988,188,10.6,91,7,15.01,897,2527,36.72
2020-162265,Angers,49000,11B RUE DAVID D ANGERS,30/06/2020,Appartement,165000,2,55,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162277,Angers,49000,24 AV BESNARDIERE,29/06/2020,Maison,433000,6,115,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162224,Angers,49000,131 RUE DES BANCHAIS,29/06/2020,Maison,300000,4,77,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162263,Angers,49000,12 PL FREPPEL,26/06/2020,Appartement,138000,1,35,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163596,Angers,49000,6 BD DESCAZEAUX,25/06/2020,Appartement,155000,2,48,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162262,Angers,49000,9 RUE MICHELET,24/06/2020,Appartement,129520,2,50,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162281,Angers,49000,91 RUE JOACHIM DU BELLAY,24/06/2020,Maison,475000,7,140,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162190,Angers,49000,5 RUE KRUGER,24/06/2020,Appartement,230000,2,46,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162217,Angers,49000,20 RUE THIERS,24/06/2020,Appartement,190000,3,71,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-162286,Angers,49000,169B AV PASTEUR,24/06/2020,Maison,449350,6,145,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
2020-163594,Angers,49000,36 RUE MONTESQUIEU,24/06/2020,Appartement,105000,2,49,154508,3618,12,12.4,115,6,42.7,703,2345,38.05
